name,label,sub_class,dynamic_state,score,cyclic_uid,age,world_width,world_height,lat_dist,long_dist,vert_dist,rel_vel_x,rel_acc_x,rel_vel_z,rel_acc_z,abs_vel_x,abs_acc_x,abs_vel_z,abs_acc_z,POS_LEFT_x,POS_LEFT_z,POS_CENTER_x,POS_CENTER_z,POS_RIGHT_x,POS_RIGHT_z,POS_DISTANT_x,POS_DISTANT_z,lane_association,conf,is_cipv,uid,eba_bitmask,vacc_quality,x_center,y_center,d3_separation,width,height,sf_confirmed,class_right_id,class_left_id,x_l,y_lt,y_lb,x_s,y_st,y_sb,x_r,y_rt,y_rb,matching_radar_cluster_top_left_x,matching_radar_cluster_top_left_z,matching_radar_cluster_width,matching_radar_cluster_height,matching_radar_cluster_is_static,matching_radar_cluster_center_x,matching_radar_cluster_center_z,update_type,reaction_profile,tracked_vel_x,tracked_vel_z,rc_raw_meas_x,rc_raw_meas_z,rc_tracked_pos_x,rc_tracked_pos_z,rc_tracked_vel_x,rc_tracked_vel_z,rc_tracked_acc_x,rc_tracked_acc_z,fd_raw_meas_x,fd_raw_meas_z,fd_tracked_pos_x,fd_tracked_pos_z,fd_tracked_vel_x,fd_tracked_vel_z,fd_tracked_acc_x,fd_tracked_acc_z,rc_weight_pos,rc_weight_kinematics,of_ittc_z,of_rel_vel_z,width_est,orientation,sf_orientation,cametra_origin,debug_field_0,debug_field_1,debug_field_2,Unnamed: 89
1692632429500090,2,1,0,96.0,2,16,1.6,1.44,2.79,8.55,-0.01,-0.03,0.0,0.42,0.03,0.04,0.0,19.86,0.6,2.28,12.38,2.38,8.56,3.98,8.61,3.88,12.42,3,0.84,0,5,0x0,100,2373.62,1153.19,2292.07,434.46,276.3,1,2,1,2156.393555,1020.861877,1223.243286,2292.066162,1015.045837,1291.343262,2590.855225,1014.78479,1288.336182,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,2,0.04,0.4,2.8,8.53,2.79,8.54,0.04,0.4,0.0,0.03,3.1,9.63,3.08,9.61,0.02,-0.11,0.0,0.03,0.99489,0.99489,0.0,0.0,1,-0.025471,-0.015656,0,0.0,0.0,0.0,
1692632429500090,2,1,0,94.0,6,16,1.65,1.51,7.58,13.91,0.0,-0.08,0.0,-3.34,0.03,0.03,0.0,16.06,0.59,7.65,17.73,7.5,13.92,9.15,13.85,9.29,17.66,0,0.0,0,6,0x800,100,2794.19,1106.43,2774.39,371.69,188.45,1,2,1,2608.347412,1016.902649,1169.075317,2774.394043,1012.206238,1200.659424,2980.04248,1011.887756,1200.300781,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,2,0.03,-3.39,7.67,14.09,7.7,14.17,0.03,-3.45,0.0,0.03,7.29,13.31,7.39,13.52,0.03,-3.31,0.0,0.02,0.602783,0.602783,0.0,0.0,0,0.03805,0.04002,0,0.0,0.0,0.0,
1692632429500090,2,1,0,91.0,8,16,1.94,1.58,13.95,24.58,0.46,-0.18,0.0,-1.93,0.03,0.01,0.0,17.42,0.59,13.64,28.87,13.47,24.6,15.41,24.52,15.58,28.79,0,0.0,0,7,0x800,100,2845.31,1040.57,2836.49,270.07,117.47,1,2,1,2710.270996,989.334045,1090.717896,2836.494141,981.834412,1099.304321,2980.340332,981.609314,1099.075928,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,1,0.01,-2.04,21.88,39.57,21.88,39.57,0.01,-2.04,0.0,0.03,13.91,24.5,13.95,24.58,0.01,-2.04,0.0,0.03,0.0,0.0,0.0,0.0,1,0.039556,0.242393,0,0.0,0.0,0.0,
1692632429500090,2,2,0,84.0,5,16,2.6,3.19,3.17,35.99,0.36,-0.34,-0.0,-7.07,0.02,-0.07,-0.0,12.36,0.59,1.86,36.06,4.45,35.94,4.94,45.92,2.35,46.04,0,0.0,0,8,0x810,100,2002.53,1003.47,1934.09,136.9,168.02,1,2,2,1934.086304,919.456543,1087.478516,1934.086304,919.456543,1087.478516,2070.981445,919.169312,1087.293945,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,1,-0.07,-7.1,4.28,49.47,4.28,49.47,-0.07,-7.1,-0.0,0.02,3.04,34.59,3.17,35.98,-0.07,-7.1,-0.0,0.02,0.0,0.0,0.0,0.0,1,0.036994,0.049102,0,0.0,0.0,0.0,
1692632429500090,2,1,1,88.0,12,16,1.54,1.45,14.03,37.96,-0.0,-0.71,-0.02,-20.08,0.02,-0.42,-0.02,-0.73,0.59,14.25,41.54,13.37,37.98,14.86,37.62,15.74,41.18,0,0.0,0,12,0x800,100,2532.6,1065.75,2499.99,94.2,71.97,1,2,1,2485.498047,1030.276489,1096.347168,2499.988525,1029.764771,1101.733887,2579.696289,1029.593506,1102.114014,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,2,-0.42,-20.18,13.9,37.61,13.9,37.61,-0.42,-20.18,-0.02,0.02,14.02,37.95,14.18,37.95,-0.42,-20.18,-0.02,0.02,0.0,0.0,0.0,0.0,0,0.221199,0.221199,0,0.0,0.0,0.0,
1692632429500090,2,1,0,89.0,0,16,1.84,1.54,0.41,38.52,0.1,-0.28,0.0,1.24,0.03,0.01,0.0,20.69,0.59,-0.46,42.83,-0.46,38.56,1.38,38.56,1.38,42.83,1,0.0,1,9,0x0,100,1858.89,1059.41,1813.29,91.2,76.27,1,2,2,1813.288696,1021.280273,1097.546875,1813.288696,1021.280273,1097.546875,1904.490601,1021.164917,1097.292236,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,0.01,1.24,0.47,39.78,0.47,39.78,0.01,0.55,0.0,0.03,0.45,37.44,0.41,38.52,0.01,1.24,0.0,0.03,0.0,0.0,0.000271,0.326527,1,-0.00163,0.0,0,0.0,0.0,0.0,
1692632429500090,2,1,0,92.0,1,16,1.77,1.69,-2.24,53.49,-0.1,-0.41,0.0,5.39,0.04,-0.01,0.0,24.87,0.6,-3.29,53.58,-1.52,53.46,-1.24,57.68,-3.0,57.79,2,0.0,0,10,0x0,100,1755.69,1058.05,1780.86,77.42,61.21,1,1,2,1716.975708,1027.555908,1088.713989,1780.858765,1027.446899,1088.658813,1794.399292,1028.095459,1084.952759,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,-0.01,5.41,-2.02,48.44,-2.02,48.44,-0.01,5.41,0.0,0.04,-2.26,54.45,-2.24,53.49,-0.01,5.41,0.0,0.04,0.0,0.0,0.0,0.0,1,0.067532,0.070477,0,0.0,0.0,0.0,
1692632429500090,2,1,0,99.0,10,16,1.77,1.45,12.59,70.27,0.14,-0.53,-0.0,-8.85,0.03,0.0,-0.0,10.51,0.59,12.25,74.16,11.9,70.3,13.51,70.15,13.87,74.01,0,0.0,0,2,0x800,100,2182.97,1049.07,2164.11,52.33,39.97,1,2,1,2156.800537,1029.460938,1067.400635,2164.10791,1029.085327,1069.052734,2209.13501,1029.005981,1069.019775,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,0.0,-8.94,13.86,76.91,13.86,76.91,0.0,-8.94,-0.0,0.03,12.4,68.62,12.59,70.27,0.0,-8.94,-0.0,0.03,0.0,0.0,0.0,0.0,0,0.063579,0.078896,0,0.0,0.0,0.0,
1692632429500090,2,1,0,99.0,4,16,1.09,1.45,2.55,77.2,0.05,-0.59,-0.0,4.31,0.03,-0.01,-0.0,23.75,0.59,2.12,81.49,2.02,77.23,3.11,77.2,3.22,81.47,0,0.0,0,3,0x0,100,1900.91,1050.67,1887.12,27.67,36.6,1,2,2,1887.079834,1032.590576,1067.314087,1887.115967,1032.368408,1068.968018,1914.745117,1032.325684,1068.917847,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,-0.01,4.29,2.64,79.5,2.64,79.5,-0.01,4.29,-0.0,0.03,2.57,77.36,2.55,77.2,-0.01,4.29,-0.0,0.03,0.0,0.0,0.0,0.0,0,0.025135,0.025665,0,0.0,0.0,0.0,
1692632429500090,2,1,0,99.0,13,12,1.79,1.48,13.02,80.39,0.23,-0.66,-0.0,0.36,0.03,-0.05,-0.0,19.72,0.59,13.03,84.67,12.92,80.4,14.7,80.35,14.82,84.62,0,0.0,0,13,0x800,100,2163.8,1044.8,2148.51,55.8,35.82,1,2,1,2135.89624,1027.371948,1061.43396,2148.511963,1026.890381,1062.712402,2191.695801,1026.824829,1062.637329,-1.0,-1.0,-1.0,-1.0,0,0.0,0.0,1,0,-0.05,0.26,16.36,99.59,16.36,99.59,-0.05,0.26,-0.0,0.03,12.98,78.65,13.02,80.4,-0.05,0.26,-0.0,0.03,0.0,0.0,0.0,0.0,0,0.027823,0.025888,0,0.0,0.0,0.0,
