frame_id,boundary_name,fValidLengthMeter,fDistanceMeter,fYawAngleRad,fCurvature,fCurvatureRate,lane_type,fCorrectedPitch,polynomial[0],polynomial[1],polynomial[2],polynomial[3],Unnamed: 13
1692632429000129,ego_right,57.449913,-1.224453,-0.028965,-0.000222,0.0,1,-0.045041,1.224453,0.028973,0.000111,-0.0,
1692632429000129,ego_left,58.081177,1.898459,-0.024586,-1.2e-05,0.0,1,-0.045041,-1.898459,0.024591,6e-06,-0.0,
1692632429000129,adjacent_right,11.597554,-4.389197,-0.069469,0.003436,0.0,1,-0.045041,4.389197,0.069581,-0.001718,-0.0,
1692632429000129,adjacent_left,57.058876,4.963195,-0.01527,-5.5e-05,0.0,1,-0.045041,-4.963195,0.015271,2.7e-05,-0.0,
1692632429000129,road_boundary_right,28.719862,-14.432203,-0.061586,-0.003007,0.0,1,-0.045041,14.432203,0.061664,0.001504,-0.0,
1692632429000129,road_boundary_left,71.921509,5.943481,-0.045965,0.000748,0.0,1,-0.045041,-5.943481,0.045998,-0.000374,-0.0,
1692632429500090,ego_right,73.843292,-1.360375,-0.028837,0.000159,0.0,1,-0.037304,1.360375,0.028845,-8e-05,-0.0,
1692632429500090,ego_left,47.737541,1.646775,-0.023101,-3.5e-05,0.0,1,-0.037304,-1.646775,0.023105,1.8e-05,-0.0,
1692632429500090,adjacent_right,10.795622,-4.532168,-0.062756,0.005205,0.0,1,-0.037304,4.532168,0.062838,-0.002602,-0.0,
1692632429500090,adjacent_left,53.030956,4.70744,-0.028382,0.000189,0.0,1,-0.037304,-4.70744,0.02839,-9.4e-05,-0.0,
1692632429500090,road_boundary_right,24.709526,-15.159852,-0.030459,0.000923,0.0,1,-0.037304,15.159852,0.030469,-0.000461,-0.0,
1692632429500090,road_boundary_left,64.92067,5.555832,-0.047559,0.000594,0.0,1,-0.037304,-5.555832,0.047595,-0.000297,-0.0,
1692632429999836,ego_right,47.540451,-1.519333,-0.021397,0.000374,0.0,1,-0.039261,1.519333,0.0214,-0.000187,-0.0,
1692632429999836,ego_left,39.401619,1.483574,-0.019794,-2.5e-05,0.0,1,-0.039261,-1.483574,0.019796,1.3e-05,-0.0,
1692632429999836,adjacent_right,11.496773,-4.612065,-0.05527,0.006156,0.0,1,-0.039261,4.612065,0.055327,-0.003078,-0.0,
1692632429999836,adjacent_left,48.630676,4.539085,-0.027072,0.000134,0.0,1,-0.039261,-4.539085,0.027079,-6.7e-05,-0.0,
1692632429999836,road_boundary_right,22.142773,-14.921906,0.031781,-0.00696,0.0,1,-0.039261,14.921906,-0.031792,0.00348,-0.0,
1692632429999836,road_boundary_left,56.219795,5.330514,-0.035489,0.000172,0.0,1,-0.039261,-5.330514,0.035504,-8.6e-05,-0.0,
1692632430500243,ego_right,37.503456,-1.711464,-0.017859,0.000673,0.0,1,-0.040107,1.711464,0.017861,-0.000337,-0.0,
1692632430500243,ego_left,48.078415,1.459358,-0.013122,-1e-06,0.0,1,-0.040107,-1.459358,0.013123,0.0,-0.0,
1692632430500243,adjacent_right,12.832035,-4.743772,-0.060986,0.004993,0.0,1,-0.040107,4.743772,0.061062,-0.002496,-0.0,
1692632430500243,adjacent_left,57.935966,4.410864,-0.002719,-0.000262,0.0,1,-0.040107,-4.410864,0.002719,0.000131,-0.0,
1692632430500243,road_boundary_right,18.340738,-15.219292,0.01327,-0.004986,0.0,1,-0.040107,15.219292,-0.013271,0.002493,-0.0,
1692632430500243,road_boundary_left,68.572937,5.295424,-0.012388,-8.8e-05,0.0,1,-0.040107,-5.295424,0.012388,4.4e-05,-0.0,
1692632431000151,ego_right,45.487095,-1.719359,-0.00984,0.000289,0.0,1,-0.041366,1.719359,0.00984,-0.000144,-0.0,
1692632431000151,ego_left,44.8946,1.400704,-0.008018,0.000134,0.0,1,-0.041366,-1.400704,0.008019,-6.7e-05,-0.0,
1692632431000151,adjacent_right,14.971043,-4.778928,-0.055388,0.005256,0.0,1,-0.041366,4.778928,0.055444,-0.002628,-0.0,
1692632431000151,adjacent_left,47.133453,4.364165,0.009934,-0.000543,0.0,1,-0.041366,-4.364165,-0.009934,0.000271,-0.0,
1692632431000151,road_boundary_left,63.654888,5.373556,-0.017368,0.000289,0.0,1,-0.041366,-5.373556,0.01737,-0.000145,-0.0,
1692632431499961,ego_right,56.354294,-1.759248,-0.007489,0.000303,0.0,1,-0.039336,1.759248,0.007489,-0.000152,-0.0,
1692632431499961,ego_left,47.125542,1.371478,-0.005015,0.000236,0.0,1,-0.039336,-1.371478,0.005015,-0.000118,-0.0,
1692632431499961,adjacent_right,17.971703,-4.87747,-0.049551,0.004597,0.0,1,-0.039336,4.87747,0.049592,-0.002298,-0.0,
1692632431499961,adjacent_left,58.277672,4.407453,0.008712,-0.000105,0.0,1,-0.039336,-4.407453,-0.008713,5.2e-05,-0.0,
1692632431499961,road_boundary_right,64.458221,-16.674744,0.010783,-0.00059,0.0,1,-0.039336,16.674744,-0.010784,0.000295,-0.0,
1692632431499961,road_boundary_left,73.362694,5.275771,-0.004146,0.000163,0.0,1,-0.039336,-5.275771,0.004146,-8.1e-05,-0.0,
1692632432000059,ego_right,10.391178,-1.777689,-0.002956,0.000433,0.0,1,-0.038607,1.777689,0.002956,-0.000217,-0.0,
1692632432000059,ego_left,45.173233,1.393632,-0.005275,0.000132,0.0,1,-0.038607,-1.393632,0.005275,-6.6e-05,-0.0,
1692632432000059,adjacent_right,22.46998,-4.889495,-0.043453,0.003969,0.0,1,-0.038607,4.889495,0.04348,-0.001984,-0.0,
1692632432000059,adjacent_left,46.79129,4.331672,0.006176,-6.8e-05,0.0,1,-0.038607,-4.331672,-0.006176,3.4e-05,-0.0,
1692632432000059,road_boundary_left,65.789886,5.194463,-0.006689,0.000175,0.0,1,-0.038607,-5.194463,0.006689,-8.7e-05,-0.0,
1692632432500203,ego_right,10.103787,-1.803528,-0.006447,-0.000378,0.0,1,-0.039889,1.803528,0.006447,0.000189,-0.0,
1692632432500203,ego_left,54.688011,1.325905,-0.001889,0.000123,0.0,1,-0.039889,-1.325905,0.001889,-6.1e-05,-0.0,
1692632432500203,adjacent_right,28.013794,-4.865726,-0.030459,0.002097,0.0,1,-0.039889,4.865726,0.030469,-0.001048,-0.0,
1692632432500203,adjacent_left,45.729797,4.283474,0.023375,-0.000489,0.0,1,-0.039889,-4.283474,-0.02338,0.000244,-0.0,
1692632432500203,road_boundary_right,25.548008,-17.393799,-0.028429,3.9e-05,0.0,1,-0.039889,17.393799,0.028436,-1.9e-05,-0.0,
1692632432500203,road_boundary_left,79.220131,5.115644,0.015705,-0.000284,0.0,1,-0.039889,-5.115644,-0.015706,0.000142,-0.0,
1692632433000049,ego_right,12.261376,-1.80579,0.003779,-0.00044,0.0,1,-0.037774,1.80579,-0.003779,0.00022,-0.0,
1692632433000049,ego_left,48.782646,1.321878,-0.004547,0.000165,0.0,1,-0.037774,-1.321878,0.004547,-8.2e-05,-0.0,
1692632433000049,adjacent_right,26.16363,-4.924111,-0.024983,0.002303,0.0,1,-0.037774,4.924111,0.024988,-0.001152,-0.0,
1692632433000049,adjacent_left,72.012291,4.34165,0.020407,-0.000547,0.0,1,-0.037774,-4.34165,-0.02041,0.000273,-0.0,
